,LocYear,educ4,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ13,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ19
40,AL1991,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.1837105909146333,-0.13551626213838955,-0.18319807420490056,-0.21000656370890014,-0.17078177447321602,-0.004029477331609247,-0.02666589082397953
41,AL1992,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.1888477544877161,-0.11343929744613881,-0.20299581517491025,-0.21044048727661216,-0.16219595350453828,-0.004029477331609247,-0.02666589082397953
42,AL1993,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.1881562132374934,-0.10407280828130297,-0.2007460718828637,-0.20799966720823196,-0.1567742131860966,-0.004029477331609247,-0.02666589082397953
43,AL1994,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.18166066506575893,-0.09192798218835418,-0.1825231512172866,-0.20398587420689565,-0.14713929385858726,-0.004029477331609247,-0.02666589082397953
44,AL1995,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.17417720082227772,-0.08648776556863604,-0.19939622590763575,-0.20631821338334783,-0.14284218698081305,-0.004029477331609247,-0.02666589082397953
45,AL1996,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.16533535198014482,-0.08736951321648026,-0.18432294585092385,-0.20322650796339958,-0.13924168141330304,-0.004029477331609247,-0.02666589082397953
46,AL1997,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.17625182457294578,-0.07806957104393455,-0.22684309407060374,-0.20132809235465943,-0.13955221452751718,-0.004029477331609247,-0.02666589082397953
47,AL1998,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.17091707778551363,-0.0916784309672662,-0.11818049306475512,-0.20387739331496763,-0.14094541714804554,-0.004029477331609247,-0.02666589082397953
48,AL1999,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.158271752067156,-0.09593743847383454,-0.13550351641351358,-0.1972600589073591,-0.13841918829997907,-0.004029477331609247,-0.02666589082397953
49,AL2000,-1.2668174167402557,-0.6167630709569882,-1.3801846056208416,-1.4117611213584351,0.6846934114696277,2.456160104379127,-0.13546002260801102,-0.15096117313623045,-0.10097837313981191,-0.12965418385419253,-0.19292082323023876,-0.13758830239978445,1.004040634237103,-2.6579290985611834
50,AL2001,-1.2668174167402557,-0.6167630709569882,-1.6575519645459014,-1.4117611213584351,1.6049750955612538,1.453339892884236,-0.13546002260801102,-0.12801682236991355,-0.09648645116022811,-0.2068203787713894,-0.18342874518653798,-0.12893533913614147,1.6760873752829113,-1.5067514451761574
51,AL2002,-0.69199911654049,-0.6167630709569882,-1.6575519645459014,-1.0203535135577013,1.1448342535154408,1.453339892884236,-0.13546002260801102,-0.12320073152014842,-0.09422385342236368,-0.1951217136527473,-0.1796861544150217,-0.12514179947060644,2.0121107458058156,-1.5067514451761574
52,AL2003,-1.2668174167402557,-1.2163330507316976,-1.6575519645459014,-1.0203535135577013,1.1448342535154408,2.121886700547496,2.725909177415828,-0.1159642462946039,-0.09129578576159796,-0.20299581517491025,-0.17399090758880123,-0.12061808734732461,1.004040634237103,-1.1778435442090065
53,AL2004,-1.2668174167402557,-0.6167630709569882,-1.3801846056208416,-0.23753829795623344,0.45462299044672116,1.7876132967158656,-0.13546002260801102,-0.11532210084796855,-0.08984838867928761,-0.20457063547934284,-0.17035679770921294,-0.11916613521870169,1.3400640047600068,-1.1778435442090065
54,AL2005,-0.69199911654049,-0.6167630709569882,-1.3801846056208416,-1.0203535135577013,0.6846934114696277,2.121886700547496,-0.13546002260801102,-0.1274487706286592,-0.0851401889747609,-0.16969961445262124,-0.17155008752042103,-0.11979559423400064,1.6760873752829113,-1.3422974946925819
55,AL2006,-0.69199911654049,-0.6167630709569882,-1.934919323470962,-1.0203535135577013,1.1448342535154408,2.121886700547496,-0.13546002260801102,-0.11208667571299813,-0.09194461893642672,-0.06643639734768433,-0.1649869935587765,-0.11314011424557302,1.3400640047600068,-0.5200277422747058
56,AL2007,-0.69199911654049,-1.2163330507316976,-1.934919323470962,-0.6289459057569671,1.1448342535154408,2.121886700547496,0.15067689739437315,-0.10262737932602356,-0.10467173121191414,-0.17149940908625846,-0.1623292117065403,-0.1198543437420952,1.3400640047600068,-0.35557379179113036
57,AL2008,-1.2668174167402557,-0.6167630709569882,-1.3801846056208416,-1.0203535135577013,0.6846934114696277,2.456160104379127,-0.13546002260801102,-0.10087382829867318,-0.10581966682891888,-0.201870943528887,-0.16086471966551216,-0.1207439791503844,1.3400640047600068,-0.6844816927582803
58,AL2009,-1.2668174167402557,-0.6167630709569882,-1.3801846056208416,-1.0203535135577013,0.6846934114696277,2.121886700547496,-0.4215969426103944,-0.10235570240629321,-0.09116269177701769,-0.19084720139785885,-0.16015959386798012,-0.11333314834359803,1.6760873752829113,0.1377880596595959
