,LocYear,safe1: 1,safe1: 2,safe4,safe5,safe6,safe7,safe9_10,safe1112: E,safe1112: M,Neglect,safe1112: P,safe1112: S,safe1920: 1,safe1920: 2,safe212223
58,AL2021,-1.0891752688296297,-1.7847513227105587,-0.17042115240236277,-0.1669231753565854,-0.1529816679972899,-0.17455512397184159,0.2077108163122163,-0.25398083453790515,-0.22926829750419692,-0.19228177868114726,0.12313175821322443,-0.022499861694805782,-1.318947940708824,-0.6447020057456536,0.1487698195854659
59,AL2021,-1.0891752688296297,-1.7847513227105587,-0.17042115240236277,-0.1669231753565854,-0.1529816679972899,-0.17455512397184159,0.2077108163122163,-0.25398083453790515,-0.22926829750419692,-0.19228177868114726,0.12313175821322443,-0.022499861694805782,-1.318947940708824,-0.6447020057456536,0.1487698195854659
60,AL2021,-1.0891752688296297,-1.7847513227105587,-0.17042115240236277,-0.1669231753565854,-0.1529816679972899,-0.17455512397184159,0.2077108163122163,-0.25398083453790515,-0.22926829750419692,-0.19228177868114726,0.12313175821322443,-0.022499861694805782,-1.318947940708824,-0.6447020057456536,0.1487698195854659
61,AL2021,-1.0891752688296297,-1.7847513227105587,-0.17042115240236277,-0.1669231753565854,-0.1529816679972899,-0.17455512397184159,0.2077108163122163,-0.25398083453790515,-0.22926829750419692,-0.19228177868114726,0.12313175821322443,-0.022499861694805782,-1.318947940708824,-0.6447020057456536,0.1487698195854659
62,AL2022,-0.7310655147568926,-1.2080610731674806,-0.1788043124424089,-0.18098068760026725,-0.16116118986889552,-0.1794224850610598,0.2077108163122163,-0.25479220751996867,-0.2312978795605152,-0.1963017541559835,0.1284678266476177,-0.03509006447181851,-1.318947940708824,-0.6447020057456536,0.6907170195039483
63,AL2022,-0.7310655147568926,-1.2080610731674806,-0.1788043124424089,-0.18098068760026725,-0.16116118986889552,-0.1794224850610598,0.2077108163122163,-0.25479220751996867,-0.2312978795605152,-0.1963017541559835,0.1284678266476177,-0.03509006447181851,-1.318947940708824,-0.6447020057456536,0.6907170195039483
64,AL2022,-0.7310655147568926,-1.2080610731674806,-0.1788043124424089,-0.18098068760026725,-0.16116118986889552,-0.1794224850610598,0.2077108163122163,-0.25479220751996867,-0.2312978795605152,-0.1963017541559835,0.1284678266476177,-0.03509006447181851,-1.318947940708824,-0.6447020057456536,0.6907170195039483
65,AL2022,-0.7310655147568926,-1.2080610731674806,-0.1788043124424089,-0.18098068760026725,-0.16116118986889552,-0.1794224850610598,0.2077108163122163,-0.25479220751996867,-0.2312978795605152,-0.1963017541559835,0.1284678266476177,-0.03509006447181851,-1.318947940708824,-0.6447020057456536,0.6907170195039483
66,AL2022,-0.7310655147568926,-1.2080610731674806,-0.1788043124424089,-0.18098068760026725,-0.16116118986889552,-0.1794224850610598,0.2077108163122163,-0.25479220751996867,-0.2312978795605152,-0.1963017541559835,0.1284678266476177,-0.03509006447181851,-1.318947940708824,-0.6447020057456536,0.6907170195039483
67,AL2022,-0.7310655147568926,-1.2080610731674806,-0.1788043124424089,-0.18098068760026725,-0.16116118986889552,-0.1794224850610598,0.2077108163122163,-0.25479220751996867,-0.2312978795605152,-0.1963017541559835,0.1284678266476177,-0.03509006447181851,-1.318947940708824,-0.6447020057456536,0.6907170195039483
