,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,16 to 19,16 to 24,20 to 24
562,LA2004,0.15,,0.3,0.14,,,0.4,,,,,,,
563,LA2005,0.13,0.36,0.28,0.14,,0.31,0.42,,,43300.0,,,,
564,LA2006,0.13,,0.28,0.14,0.65,0.32,0.43,,,46200.0,,,,
565,LA2007,0.12,,0.27,0.13,0.65,0.31,0.4,0.05,,47800.0,0.04,,,
566,LA2008,0.11,0.32,0.25,0.12,0.64,0.31,,0.05,0.24,51400.0,0.04,0.11,0.16,0.21
567,LA2009,0.11,,0.24,0.12,0.64,0.31,,0.05,0.22,51900.0,0.05,0.11,0.17,0.22
568,LA2010,0.12,0.35,0.27,0.14,0.61,0.32,,0.07,0.23,49600.0,0.06,0.14,0.2,0.24
569,LA2011,0.14,,0.29,0.13,0.61,0.33,,0.08,0.25,51300.0,0.06,0.12,0.18,0.23
570,LA2012,0.13,,0.28,0.11,0.59,0.32,,0.07,0.26,50900.0,0.06,0.11,0.17,0.22
571,LA2013,0.14,0.35,0.28,0.12,0.6,0.31,,0.08,0.25,52300.0,0.06,0.12,0.2,0.25
572,LA2014,0.14,0.34,0.28,0.12,0.57,0.32,,0.08,0.26,52100.0,0.06,0.11,0.18,0.22
573,LA2015,0.14,0.33,0.28,0.12,0.58,0.32,,0.07,0.26,54800.0,0.05,0.11,0.17,0.21
574,LA2016,0.12,0.35,0.29,0.12,0.59,0.31,,0.08,0.25,54300.0,0.06,0.11,0.17,0.21
575,LA2017,0.14,0.35,0.28,0.12,0.59,0.3,,0.05,0.26,57200.0,0.04,0.1,0.17,0.22
576,LA2018,0.12,0.31,0.26,0.11,0.59,0.31,,0.05,0.27,58100.0,0.04,0.11,0.17,0.22
577,LA2019,0.13,0.3,0.27,0.12,0.62,0.29,,0.05,0.25,61300.0,0.04,0.09,0.14,0.18
578,LA2020,,,,,,,,0.08,,,0.07,,,
579,LA2021,0.14,0.39,0.27,0.12,0.62,0.3,,0.06,0.23,64200.0,0.04,0.11,0.18,0.24
580,LA2022,0.11,0.36,0.25,0.1,0.65,0.31,0.3,0.04,0.27,71800.0,0.03,0.09,0.15,0.2
581,LA2023,0.13,0.35,0.25,0.1,0.65,0.31,,0.04,0.26,73100.0,0.03,0.09,0.15,0.19
582,LA2024,0.13,0.32,0.25,,,,,0.05,,77700.0,0.04,,,
583,MA2000,0.08,,0.14,0.1,,,0.31,,,,,,,
584,MA2001,0.05,,0.12,0.08,,,0.28,,,,,,,
585,MA2002,0.07,,0.12,0.06,,,0.3,,,,,,,
586,MA2003,0.06,,0.12,0.07,,,0.31,,,,,,,
587,MA2004,0.06,,0.13,0.06,,,0.31,,,,,,,
588,MA2005,0.07,0.13,0.14,0.07,,0.4,0.31,,,72300.0,,,,
589,MA2006,0.06,,0.12,0.06,0.71,0.44,0.3,,,76500.0,,,,
590,MA2007,0.06,,0.13,0.05,0.71,0.42,0.32,0.05,,80000.0,0.04,,,
591,MA2008,0.05,0.16,0.12,0.07,0.7,0.42,,0.06,0.12,80300.0,0.05,0.05,0.09,0.12
592,MA2009,0.06,,0.13,0.06,0.69,0.4,,0.09,0.12,83300.0,0.06,0.06,0.11,0.14
593,MA2010,0.07,0.22,0.14,0.06,0.67,0.39,,0.09,0.13,80500.0,0.07,0.05,0.1,0.14
594,MA2011,0.07,,0.15,0.07,0.66,0.41,,0.08,0.14,81300.0,0.06,0.05,0.1,0.13
595,MA2012,0.07,,0.15,0.07,0.65,0.36,,0.08,0.14,83700.0,0.06,0.05,0.09,0.13
596,MA2013,0.08,0.24,0.16,0.07,0.64,0.36,,0.07,0.14,85400.0,0.05,0.05,0.09,0.13
597,MA2014,0.07,0.23,0.15,0.08,0.64,0.34,,0.07,0.15,89300.0,0.05,0.05,0.08,0.11
598,MA2015,0.07,0.22,0.15,0.08,0.64,0.34,,0.06,0.15,92000.0,0.05,0.04,0.08,0.11
599,MA2016,0.07,0.21,0.14,0.07,0.65,0.31,,0.04,0.13,98400.0,0.03,0.04,0.07,0.1
600,MA2017,0.07,0.21,0.14,0.08,0.65,0.32,,0.04,0.13,101200.0,0.03,0.04,0.07,0.1
601,MA2018,0.06,0.21,0.12,0.08,0.65,0.31,,0.04,0.13,104500.0,0.02,0.05,0.07,0.09
602,MA2019,0.06,0.2,0.12,0.09,0.66,0.31,,0.04,0.13,111800.0,0.02,0.04,0.07,0.09
603,MA2020,,,,,,,,0.12,,,0.08,,,
604,MA2021,0.07,0.28,0.13,0.08,0.68,0.3,,0.07,0.1,119100.0,0.04,0.05,0.08,0.1
605,MA2022,0.06,0.26,0.12,0.08,0.68,0.32,0.24,0.03,0.13,122000.0,0.02,0.04,0.07,0.1
606,MA2023,0.06,0.27,0.13,0.09,0.67,0.34,,0.04,0.14,130200.0,0.03,0.05,0.07,0.09
607,MA2024,0.06,0.25,0.11,,,,,0.03,,137300.0,0.02,,,
608,MD2000,0.06,,0.13,0.09,,,0.28,,,,,,,
609,MD2001,0.05,,0.11,0.09,,,0.24,,,,,,,
610,MD2002,0.05,,0.11,0.09,,,0.28,,,,,,,
611,MD2003,0.05,,0.1,0.08,,,0.27,,,,,,,
612,MD2004,0.05,,0.11,0.07,,,0.28,,,,,,,
613,MD2005,0.05,0.11,0.11,0.08,,0.35,0.28,,,74700.0,,,,
614,MD2006,0.05,,0.1,0.07,0.7,0.36,0.28,,,77200.0,,,,
615,MD2007,0.05,,0.1,0.07,0.71,0.4,0.28,0.04,,80300.0,0.03,,,
616,MD2008,0.05,0.13,0.1,0.07,0.7,0.41,,0.05,0.14,82900.0,0.04,0.08,0.12,0.15
617,MD2009,0.05,,0.12,0.07,0.68,0.42,,0.08,0.13,82200.0,0.06,0.08,0.14,0.18
618,MD2010,0.07,0.2,0.13,0.08,0.66,0.42,,0.08,0.14,80800.0,0.06,0.08,0.13,0.16
619,MD2011,0.07,,0.14,0.1,0.64,0.41,,0.09,0.14,81500.0,0.07,0.08,0.13,0.18
620,MD2012,0.07,,0.14,0.08,0.63,0.37,,0.09,0.14,82600.0,0.07,0.08,0.13,0.17
621,MD2013,0.07,0.23,0.14,0.08,0.64,0.35,,0.08,0.15,83700.0,0.05,0.07,0.12,0.16
622,MD2014,0.06,0.24,0.13,0.11,0.62,0.36,,0.06,0.16,87800.0,0.05,0.08,0.13,0.17
623,MD2015,0.06,0.24,0.13,0.1,0.61,0.34,,0.06,0.15,88900.0,0.04,0.07,0.11,0.14
624,MD2016,0.06,0.23,0.13,0.09,0.63,0.33,,0.04,0.15,91700.0,0.03,0.06,0.11,0.15
625,MD2017,0.06,0.21,0.12,0.09,0.64,0.32,,0.05,0.15,97700.0,0.04,0.06,0.11,0.14
626,MD2018,0.06,0.19,0.12,0.09,0.66,0.31,,0.06,0.15,100300.0,0.04,0.06,0.11,0.15
627,MD2019,0.06,0.19,0.12,0.1,0.64,0.31,,0.05,0.15,103600.0,0.03,0.07,0.1,0.13
628,MD2020,,,,,,,,0.05,,,0.04,,,
629,MD2021,0.06,0.27,0.14,0.11,0.67,0.31,,0.08,0.13,110000.0,0.05,0.06,0.11,0.16
630,MD2022,0.05,0.23,0.12,0.11,0.68,0.3,0.22,0.03,0.16,114400.0,0.01,0.06,0.1,0.13
631,MD2023,0.06,0.2,0.11,0.11,0.68,0.29,,0.03,0.15,120100.0,0.02,0.06,0.1,0.14
632,MD2024,0.05,0.2,0.11,,,,,0.04,,129100.0,0.03,,,
633,ME2000,0.05,,0.12,0.03,,,0.34,,,,,,,
634,ME2001,0.05,,0.11,0.05,,,0.29,,,,,,,
635,ME2002,0.07,,0.16,0.05,,,0.33,,,,,,,
636,ME2003,0.05,,0.13,0.06,,,0.31,,,,,,,
637,ME2004,0.1,,0.17,0.04,,,0.32,,,,,,,
638,ME2005,0.07,0.23,0.17,0.07,,0.33,0.35,,,51700.0,,,,
639,ME2006,0.08,,0.18,0.06,0.74,0.34,0.34,,,51500.0,,,,
640,ME2007,0.07,,0.15,0.06,0.76,0.34,0.33,0.05,,55200.0,0.04,,,
641,ME2008,0.07,0.24,0.16,0.04,0.74,0.38,,0.06,0.2,54700.0,0.04,0.08,0.13,0.17
642,ME2009,0.07,,0.17,0.06,0.74,0.38,,0.1,0.2,52800.0,0.07,0.07,0.12,0.17
643,ME2010,0.06,0.33,0.18,0.07,0.73,0.33,,0.09,0.2,54500.0,0.07,0.07,0.13,0.18
644,ME2011,0.07,,0.19,0.06,0.71,0.38,,0.08,0.21,53600.0,0.07,0.06,0.13,0.19
645,ME2012,0.08,,0.21,0.08,0.69,0.36,,0.08,0.22,53400.0,0.06,0.08,0.12,0.16
646,ME2013,0.07,0.33,0.18,0.06,0.69,0.31,,0.07,0.22,53100.0,0.05,0.06,0.11,0.15
647,ME2014,0.09,0.3,0.19,0.08,0.71,0.33,,0.07,0.21,57500.0,0.04,0.06,0.11,0.15
648,ME2015,0.08,0.28,0.17,0.07,0.73,0.3,,0.03,0.2,60500.0,0.03,0.07,0.1,0.13
649,ME2016,0.07,0.26,0.17,0.09,0.71,0.27,,0.05,0.2,70500.0,0.04,0.06,0.1,0.14
650,ME2017,0.06,0.23,0.13,0.07,0.74,0.2,,0.02,0.16,73500.0,0.02,0.05,0.09,0.14
651,ME2018,0.06,0.24,0.14,0.08,0.73,0.22,,0.02,0.2,70400.0,0.02,0.06,0.09,0.11
652,ME2019,0.05,0.23,0.14,0.09,0.73,0.23,,0.03,0.19,75600.0,0.02,0.05,0.08,0.12
653,ME2020,,,,,,,,0.06,,,0.04,,,
654,ME2021,0.07,0.22,0.15,0.06,0.79,0.23,,0.07,0.15,84800.0,0.04,0.06,0.11,0.16
655,ME2022,0.05,0.21,0.12,0.07,0.77,0.21,0.24,0.04,0.18,89900.0,0.03,0.06,0.1,0.13
656,ME2023,0.07,0.23,0.13,0.08,0.77,0.26,,0.02,0.17,90500.0,0.02,0.05,0.08,0.11
657,ME2024,0.07,0.24,0.13,,,,,0.04,,105300.0,0.03,,,
658,MI2000,0.05,,0.14,0.09,,,0.31,,,,,,,
659,MI2001,0.06,,0.15,0.09,,,0.31,,,,,,,
660,MI2002,0.07,,0.16,0.1,,,0.34,,,,,,,
661,MI2003,0.07,,0.16,0.11,,,0.34,,,,,,,
662,MI2004,0.08,,0.18,0.09,,,0.34,,,,,,,
663,MI2005,0.08,0.21,0.19,0.08,,0.36,0.35,,,57000.0,,,,
664,MI2006,0.08,,0.18,0.08,0.76,0.37,0.35,,,57600.0,,,,
665,MI2007,0.1,,0.19,0.08,0.74,0.39,0.36,0.07,,57900.0,0.05,,,
666,MI2008,0.09,0.25,0.19,0.08,0.73,0.38,,0.08,0.19,60000.0,0.07,0.08,0.13,0.17
667,MI2009,0.11,,0.23,0.08,0.71,0.39,,0.15,0.2,55300.0,0.11,0.09,0.15,0.2
668,MI2010,0.11,0.33,0.23,0.08,0.7,0.39,,0.12,0.2,54100.0,0.1,0.09,0.15,0.21
669,MI2011,0.12,,0.25,0.09,0.69,0.37,,0.11,0.21,56600.0,0.09,0.09,0.15,0.2
670,MI2012,0.12,,0.25,0.08,0.68,0.34,,0.1,0.22,56800.0,0.07,0.08,0.14,0.19
671,MI2013,0.12,0.33,0.24,0.09,0.68,0.32,,0.09,0.22,58600.0,0.07,0.08,0.14,0.19
672,MI2014,0.11,0.31,0.23,0.09,0.68,0.3,,0.07,0.22,60600.0,0.05,0.06,0.13,0.18
673,MI2015,0.1,0.3,0.22,0.09,0.69,0.28,,0.05,0.23,61600.0,0.04,0.07,0.13,0.17
674,MI2016,0.09,0.28,0.21,0.09,0.69,0.26,,0.05,0.22,65000.0,0.04,0.07,0.12,0.15
675,MI2017,0.09,0.26,0.2,0.09,0.7,0.25,,0.06,0.21,67000.0,0.04,0.06,0.11,0.15
676,MI2018,0.09,0.25,0.19,0.09,0.71,0.25,,0.05,0.22,69800.0,0.03,0.07,0.11,0.14
677,MI2019,0.08,0.23,0.18,0.09,0.72,0.24,,0.04,0.22,73700.0,0.03,0.06,0.1,0.13
678,MI2020,,,,,,,,0.1,,,0.08,,,
679,MI2021,0.09,0.29,0.18,0.1,0.74,0.25,,0.06,0.17,79700.0,0.05,0.07,0.12,0.15
680,MI2022,0.09,0.28,0.18,0.09,0.75,0.25,0.27,0.05,0.19,86000.0,0.03,0.07,0.11,0.14
681,MI2023,0.09,0.27,0.18,0.09,0.77,0.25,,0.03,0.2,88800.0,0.02,0.07,0.11,0.15
682,MI2024,0.09,0.26,0.18,,,,,0.04,,94100.0,0.03,,,
683,MN2000,0.03,,0.09,0.13,,,0.23,,,,,,,
684,MN2001,0.04,,0.11,0.08,,,0.26,,,,,,,
685,MN2002,0.06,,0.12,0.09,,,0.26,,,,,,,
686,MN2003,0.05,,0.09,0.09,,,0.26,,,,,,,
687,MN2004,0.04,,0.11,0.09,,,0.29,,,,,,,
688,MN2005,0.05,0.12,0.12,0.08,,0.32,0.27,,,65200.0,,,,
689,MN2006,0.06,,0.12,0.08,0.81,0.34,0.28,,,67000.0,,,,
690,MN2007,0.05,,0.12,0.08,0.8,0.34,0.28,0.05,,70200.0,0.04,,,
691,MN2008,0.05,0.13,0.11,0.08,0.8,0.34,,0.07,0.17,72000.0,0.05,0.04,0.08,0.11
692,MN2009,0.06,,0.14,0.08,0.77,0.34,,0.1,0.17,69700.0,0.07,0.06,0.11,0.14
693,MN2010,0.06,0.18,0.15,0.09,0.75,0.34,,0.09,0.17,69600.0,0.07,0.05,0.1,0.14
694,MN2011,0.06,,0.15,0.1,0.74,0.32,,0.08,0.18,71100.0,0.06,0.05,0.1,0.14
695,MN2012,0.06,,0.15,0.09,0.72,0.29,,0.06,0.18,73900.0,0.05,0.05,0.09,0.12
696,MN2013,0.06,0.19,0.14,0.1,0.73,0.26,,0.06,0.18,75300.0,0.04,0.05,0.09,0.12
697,MN2014,0.06,0.2,0.15,0.11,0.73,0.25,,0.03,0.18,79200.0,0.03,0.04,0.08,0.12
698,MN2015,0.05,0.19,0.13,0.1,0.72,0.24,,0.04,0.18,80300.0,0.03,0.04,0.08,0.1
699,MN2016,0.06,0.18,0.13,0.1,0.74,0.22,,0.05,0.17,85100.0,0.03,0.05,0.07,0.09
700,MN2017,0.05,0.17,0.12,0.1,0.74,0.22,,0.04,0.16,89700.0,0.03,0.04,0.06,0.08
701,MN2018,0.05,0.17,0.12,0.11,0.75,0.21,,0.03,0.17,92900.0,0.02,0.04,0.07,0.1
702,MN2019,0.05,0.16,0.11,0.1,0.76,0.21,,0.03,0.15,97200.0,0.02,0.04,0.07,0.09
703,MN2020,,,,,,,,0.06,,,0.04,,,
704,MN2021,0.05,0.19,0.11,0.1,0.79,0.21,,0.04,0.14,103700.0,0.03,0.05,0.09,0.12
705,MN2022,0.05,0.18,0.11,0.1,0.79,0.22,0.2,0.03,0.14,110100.0,0.02,0.05,0.08,0.1
706,MN2023,0.05,0.17,0.1,0.11,0.79,0.23,,0.03,0.15,116100.0,0.02,0.04,0.07,0.1
707,MN2024,0.05,0.17,0.1,,,,,0.03,,121000.0,0.02,,,
708,MO2000,0.05,,0.16,0.09,,,0.31,,,,,,,
709,MO2001,0.07,,0.16,0.1,,,0.3,,,,,,,
710,MO2002,0.08,,0.17,0.1,,,0.29,,,,,,,
711,MO2003,0.06,,0.16,0.09,,,0.29,,,,,,,
712,MO2004,0.08,,0.16,0.07,,,0.31,,,,,,,
713,MO2005,0.08,0.23,0.19,0.07,,0.29,0.33,,,51000.0,,,,
714,MO2006,0.09,,0.19,0.09,0.7,0.31,0.32,,,51000.0,,,,
715,MO2007,0.08,,0.18,0.08,0.71,0.31,0.31,0.06,,54300.0,0.04,,,
716,MO2008,0.08,0.24,0.19,0.08,0.7,0.29,,0.07,0.22,56600.0,0.06,0.08,0.12,0.15
717,MO2009,0.1,,0.21,0.08,0.67,0.32,,0.1,0.22,53200.0,0.08,0.09,0.14,0.18
718,MO2010,0.1,0.29,0.21,0.09,0.66,0.33,,0.11,0.23,53400.0,0.08,0.09,0.14,0.19
719,MO2011,0.1,,0.22,0.08,0.66,0.31,,0.09,0.22,54300.0,0.07,0.08,0.14,0.19
720,MO2012,0.11,,0.23,0.08,0.65,0.31,,0.07,0.24,54900.0,0.05,0.08,0.13,0.17
721,MO2013,0.1,0.29,0.22,0.08,0.64,0.3,,0.07,0.25,56400.0,0.05,0.07,0.12,0.16
722,MO2014,0.1,0.27,0.21,0.09,0.64,0.28,,0.06,0.23,59800.0,0.05,0.07,0.12,0.16
723,MO2015,0.09,0.26,0.2,0.08,0.63,0.26,,0.06,0.24,61300.0,0.04,0.07,0.11,0.15
724,MO2016,0.09,0.24,0.19,0.09,0.64,0.24,,0.05,0.24,63900.0,0.04,0.05,0.11,0.15
725,MO2017,0.08,0.24,0.19,0.09,0.65,0.24,,0.04,0.23,66000.0,0.03,0.06,0.1,0.13
726,MO2018,0.08,0.24,0.18,0.1,0.65,0.23,,0.04,0.23,67300.0,0.03,0.07,0.11,0.14
727,MO2019,0.08,0.22,0.17,0.1,0.67,0.22,,0.03,0.23,72100.0,0.03,0.07,0.11,0.14
728,MO2020,,,,,,,,0.06,,,0.05,,,
729,MO2021,0.07,0.22,0.16,0.08,0.7,0.22,,0.04,0.2,78800.0,0.03,0.07,0.1,0.13
730,MO2022,0.08,0.22,0.17,0.09,0.71,0.22,0.25,0.03,0.22,82500.0,0.02,0.07,0.1,0.12
731,MO2023,0.06,0.2,0.14,0.1,0.72,0.22,,0.03,0.21,90800.0,0.02,0.06,0.1,0.13
732,MO2024,0.07,0.19,0.15,,,,,0.03,,94800.0,0.02,,,
733,MS2000,0.11,,0.26,0.11,,,0.36,,,,,,,
734,MS2001,0.12,,0.26,0.13,,,0.4,,,,,,,
735,MS2002,0.14,,0.29,0.13,,,0.4,,,,,,,
736,MS2003,0.13,,0.29,0.13,,,0.41,,,,,,,
737,MS2004,0.13,,0.31,0.13,,,0.39,,,,,,,
738,MS2005,0.15,0.33,0.31,0.14,,0.34,0.43,,,37400.0,,,,
739,MS2006,0.14,,0.3,0.15,0.65,0.33,0.42,,,39500.0,,,,
740,MS2007,0.14,,0.29,0.11,0.64,0.32,0.43,0.07,,42300.0,0.05,,,
741,MS2008,0.14,0.3,0.3,0.12,0.64,0.34,,0.08,0.28,42900.0,0.05,0.09,0.15,0.2
742,MS2009,0.14,,0.31,0.12,0.63,0.35,,0.11,0.27,42800.0,0.08,0.12,0.18,0.24
743,MS2010,0.15,0.38,0.33,0.15,0.61,0.35,,0.12,0.27,41500.0,0.1,0.13,0.21,0.27
744,MS2011,0.15,,0.32,0.12,0.6,0.37,,0.13,0.29,42400.0,0.1,0.12,0.19,0.26
745,MS2012,0.16,,0.35,0.12,0.58,0.35,,0.13,0.29,40900.0,0.09,0.12,0.19,0.25
746,MS2013,0.17,0.41,0.34,0.13,0.58,0.33,,0.09,0.29,42400.0,0.07,0.12,0.19,0.24
747,MS2014,0.15,0.37,0.29,0.13,0.6,0.31,,0.08,0.28,46200.0,0.07,0.1,0.17,0.23
748,MS2015,0.17,0.38,0.31,0.13,0.57,0.31,,0.07,0.29,44900.0,0.06,0.1,0.17,0.23
749,MS2016,0.14,0.35,0.3,0.11,0.59,0.28,,0.06,0.28,47700.0,0.05,0.09,0.15,0.21
750,MS2017,0.13,0.35,0.27,0.13,0.59,0.26,,0.05,0.27,51700.0,0.04,0.08,0.16,0.23
751,MS2018,0.14,0.33,0.28,0.12,0.6,0.27,,0.04,0.27,54900.0,0.04,0.1,0.16,0.21
752,MS2019,0.12,0.29,0.28,0.12,0.62,0.26,,0.06,0.29,53100.0,0.04,0.1,0.16,0.21
753,MS2020,,,,,,,,0.08,,,0.07,,,
754,MS2021,0.14,0.31,0.28,0.1,0.63,0.28,,0.05,0.24,61000.0,0.04,0.07,0.15,0.22
755,MS2022,0.13,0.31,0.26,0.11,0.65,0.29,0.32,0.04,0.28,63900.0,0.03,0.1,0.15,0.2
756,MS2023,0.11,0.28,0.23,0.11,0.69,0.25,,0.02,0.29,69500.0,0.02,0.08,0.14,0.2
757,MS2024,0.13,0.27,0.25,,,,,0.02,,73300.0,0.02,,,
758,MT2000,0.04,,0.17,0.08,,,0.3,,,,,,,
759,MT2001,0.09,,0.2,0.11,,,0.38,,,,,,,
760,MT2002,0.07,,0.2,0.13,,,0.35,,,,,,,
761,MT2003,0.07,,0.18,0.1,,,0.32,,,,,,,
762,MT2004,0.07,,0.19,0.09,,,0.33,,,,,,,
763,MT2005,0.07,0.19,0.2,0.11,,0.3,0.36,,,44800.0,,,,
764,MT2006,0.08,,0.17,0.08,0.7,0.29,0.33,,,49500.0,,,,
765,MT2007,0.07,,0.18,0.09,0.69,0.29,0.34,0.05,,49900.0,0.03,,,
766,MT2008,0.08,0.2,0.21,0.09,0.67,0.28,,0.06,0.23,55200.0,0.04,0.1,0.12,0.14
767,MT2009,0.11,,0.21,0.09,0.66,0.3,,0.08,0.24,51700.0,0.06,0.11,0.14,0.16
768,MT2010,0.1,0.22,0.2,0.11,0.67,0.3,,0.08,0.24,54000.0,0.06,0.09,0.14,0.17
769,MT2011,0.08,,0.2,0.1,0.68,0.32,,0.08,0.26,53400.0,0.06,0.07,0.13,0.18
770,MT2012,0.08,,0.2,0.12,0.63,0.31,,0.08,0.26,54900.0,0.06,0.1,0.14,0.17
771,MT2013,0.09,0.26,0.21,0.12,0.63,0.26,,0.05,0.25,56300.0,0.04,0.07,0.13,0.18
772,MT2014,0.08,0.25,0.19,0.11,0.6,0.27,,0.05,0.25,60400.0,0.04,0.07,0.13,0.17
773,MT2015,0.08,0.22,0.19,0.11,0.65,0.26,,0.04,0.22,64500.0,0.03,0.07,0.13,0.18
774,MT2016,0.07,0.22,0.15,0.12,0.68,0.24,,0.04,0.24,68400.0,0.03,0.07,0.11,0.13
775,MT2017,0.07,0.21,0.15,0.11,0.7,0.22,,0.05,0.22,70300.0,0.04,0.07,0.1,0.13
776,MT2018,0.07,0.21,0.16,0.1,0.67,0.24,,0.03,0.25,67700.0,0.03,0.09,0.1,0.11
777,MT2019,0.06,0.2,0.15,0.11,0.72,0.23,,0.04,0.21,71600.0,0.03,0.07,0.1,0.12
778,MT2020,,,,,,,,0.07,,,0.05,,,
779,MT2021,0.07,0.19,0.14,0.09,0.74,0.22,,0.04,0.21,81900.0,0.02,0.06,0.11,0.15
780,MT2022,0.06,0.16,0.13,0.1,0.73,0.21,0.25,0.03,0.19,85400.0,0.02,0.08,0.1,0.11
781,MT2023,0.06,0.17,0.12,0.1,0.72,0.25,,0.03,0.2,95000.0,0.02,0.07,0.1,0.12
782,MT2024,0.05,0.18,0.11,,,,,0.03,,100200.0,0.02,,,
783,NC2000,0.08,,0.19,0.12,,,0.35,,,,,,,
784,NC2001,0.08,,0.2,0.1,,,0.33,,,,,,,
785,NC2002,0.1,,0.21,0.11,,,0.35,,,,,,,
786,NC2003,0.1,,0.19,0.1,,,0.36,,,,,,,
787,NC2004,0.09,,0.22,0.1,,,0.35,,,,,,,
788,NC2005,0.09,0.2,0.21,0.09,,0.33,0.34,,,46500.0,,,,
789,NC2006,0.09,,0.2,0.1,0.64,0.33,0.34,,,50300.0,,,,
