,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth12,hth13,hth14,hth151617,hth1819,hth2021,hth2223,hth2425,hth26,hth27,hth28,hth29,hth30,hth31,hth32,hth33
960,GA2016,0.809,0.05,0.05,0.45,0.08,30.0,366,0.07,0.09,0.22,0.22,0.82,0.09,0.09,0.21,,976,12704.0,0.16,0.13,434,130042.0,8248.0
961,GA2017,0.691,0.05,0.05,0.45,0.08,28.0,350,0.07,0.1,0.22,0.23,0.81,0.78,0.08,0.19,N.R.,932,12772.0,0.17,0.14,401,129243.0,7778.0
962,GA2018,0.783,0.04,0.04,0.45,0.09,28.0,353,0.08,0.1,0.22,0.23,0.79,0.77,0.09,0.2,,888,12733.0,0.17,0.14,402,126172.0,7385.0
963,GA2019,0.737,0.04,0.04,0.46,0.09,29.0,385,0.07,0.1,0.21,0.24,0.76,0.79,0.1,0.22,0.3,888,12655.0,0.16,0.15,382,126371.0,7090.0
964,GA2020,0.709,0.04,0.04,0.46,0.09,32.0,399,,0.09,,0.22,0.74,0.79,0.1,0.21,,765,12072.0,,0.15,460,122473.0,6572.0
965,GA2021,0.657,0.03,0.03,0.46,0.08,36.0,426,0.07,0.1,0.2,0.21,0.77,0.79,0.08,0.21,0.44,770,13140.0,0.15,0.15,559,124073.0,6141.0
966,GA2022,0.755,0.03,0.03,0.46,0.08,35.0,391,0.06,0.11,0.2,0.23,0.8,0.8,0.08,0.21,,894,13321.0,0.15,0.14,547,126130.0,6128.0
967,GA2023,0.686,0.02,0.02,0.46,0.09,35.0,410,0.06,,,,,,,,N.R.,874,12730.0,0.14,0.14,531,125120.0,6259.0
968,GA2024,,,,,,,,0.08,,,,,,,,,,,,,,,
969,HI1990,,,,0.248,,,58,,,,,,,,,,138,1445.0,,0.1,47,20489.0,2122.0
970,HI1991,,,,0.261,,,51,,,,,,,,,,147,1353.0,,0.103,33,19922.0,2073.0
971,HI1992,,,,0.262,,,58,,,,,,,,,,126,1430.0,,0.103,42,19864.0,1956.0
972,HI1993,,,,0.272,,,51,,,,,,,,,,142,1335.0,,0.105,41,19593.0,1960.0
973,HI1994,,,,0.283,,,54,,,,,,,,,,130,1369.0,,0.112,51,19517.0,2017.0
974,HI1995,,,,0.292,,,57,,,,,,,,,,107,1298.0,,0.108,49,18595.0,1841.0
975,HI1996,,,,0.303,,,51,,,,,,,,,,107,1330.0,,0.107,44,18401.0,1884.0
976,HI1997,,,,0.299,,,45,,,,,,,,,,114,1235.0,,0.106,37,17393.0,1733.0
977,HI1998,,,,0.315,,,41,,,,,,,,,,121,1284.0,,0.111,47,17583.0,1849.0
978,HI1999,,,,0.328,,,30,,,,,,,,,,120,1280.0,,0.115,36,17038.0,1759.0
979,HI2000,,,,0.322,,,34,,,,,,,,,,142,1308.0,,0.113,33,17551.0,1788.0
980,HI2001,,,,0.33,,,36,,,,,,,,0.11,,106,1385.0,,0.128,42,17072.0,1672.0
981,HI2002,0.691,,,0.336,,,38,,,,,,,,,,127,1450.0,,0.137,36,17477.0,1538.0
982,HI2003,0.787,N.C.,N.C.,0.335,N.C.,,41,,,,,,0.71,0.1,,,136,1554.0,,0.126,46,18100.0,1502.0
983,HI2003,0.787,N.C.,N.C.,0.335,0.036,,41,,,,,,0.71,0.1,,,136,1554.0,,0.126,46,18100.0,1502.0
984,HI2003,0.787,N.C.,0.059,0.335,N.C.,,41,,,,,,0.71,0.1,,,136,1554.0,,0.126,46,18100.0,1502.0
985,HI2003,0.787,N.C.,0.059,0.335,0.036,,41,,,,,,0.71,0.1,,,136,1554.0,,0.126,46,18100.0,1502.0
986,HI2003,0.787,0.059,N.C.,0.335,N.C.,,41,,,,,,0.71,0.1,,,136,1554.0,,0.126,46,18100.0,1502.0
987,HI2003,0.787,0.059,N.C.,0.335,0.036,,41,,,,,,0.71,0.1,,,136,1554.0,,0.126,46,18100.0,1502.0
988,HI2003,0.787,0.059,0.059,0.335,N.C.,,41,,,,,,0.71,0.1,,,136,1554.0,,0.126,46,18100.0,1502.0
989,HI2003,0.787,0.059,0.059,0.335,0.036,,41,,,,,,0.71,0.1,,,136,1554.0,,0.126,46,18100.0,1502.0
990,HI2004,0.798,N.C.,N.C.,0.334,N.C.,,48,,,,,,,,,,104,1442.0,,0.121,34,18281.0,1448.0
991,HI2004,0.798,N.C.,N.C.,0.334,0.037,,48,,,,,,,,,,104,1442.0,,0.121,34,18281.0,1448.0
992,HI2004,0.798,N.C.,0.066,0.334,N.C.,,48,,,,,,,,,,104,1442.0,,0.121,34,18281.0,1448.0
993,HI2004,0.798,N.C.,0.066,0.334,0.037,,48,,,,,,,,,,104,1442.0,,0.121,34,18281.0,1448.0
994,HI2004,0.798,0.066,N.C.,0.334,N.C.,,48,,,,,,,,,,104,1442.0,,0.121,34,18281.0,1448.0
995,HI2004,0.798,0.066,N.C.,0.334,0.037,,48,,,,,,,,,,104,1442.0,,0.121,34,18281.0,1448.0
996,HI2004,0.798,0.066,0.066,0.334,N.C.,,48,,,,,,,,,,104,1442.0,,0.121,34,18281.0,1448.0
997,HI2004,0.798,0.066,0.066,0.334,0.037,,48,,,,,,,,,,104,1442.0,,0.121,34,18281.0,1448.0
998,HI2005,0.775,N.C.,N.C.,0.363,N.C.,22.0,36,,,,,,,,0.12,,116,1468.0,,0.122,32,17924.0,1480.0
999,HI2005,0.775,N.C.,N.C.,0.363,0.036,22.0,36,,,,,,,,0.12,,116,1468.0,,0.122,32,17924.0,1480.0
